,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0.1170524,9.487052,-2.447052,-0.003879683,-0.005592378,-0.004426033,0.1266232,9.486623,-2.423377,-0.001589843,-0.01,-0.003812065,0.1213975,9.505699,-2.431506,0.0004234124,-0.005978968,-0.00354504,0.1159438,9.48,-2.451888,0.006928811,-0.005251722,-0.001373255
1,0.1495048,9.497327,-2.496832,0.003868574,8.126082e-05,0.0006165012,0.1573695,9.476315,-2.483685,0.001745885,-0.004126545,0.0,0.1052828,9.494717,-2.503586,0.003333333,-0.005940211,0.0,0.1217196,9.49,-2.487579,-0.000821677,-0.002268847,0.002222222
2,0.1426653,9.494669,-2.492665,-0.002253803,-0.001619296,0.002793568,0.1671,9.4858,-2.4842,-0.005724173,0.001919592,0.002693469,0.1806305,9.47,-2.46937,-0.006855115,0.002033774,0.001488007,0.14,9.49176,-2.46588,-0.007500413,-0.005555556,-0.0002773644
3,0.1430931,9.47,-2.44,-0.009411772,-0.004400882,2.178144e-05,0.12,9.483016,-2.4,0.0002607448,-0.0008503663,0.0004903693,0.1307221,9.48,-2.44,-0.001004557,0.005799089,0.002222222,0.1831592,9.489739,-2.456841,0.004977598,0.00280018,0.003333333
4,0.16,9.483765,-2.506235,0.007191523,-0.0005862551,0.002201756,0.1632918,9.476708,-2.509875,0.005412658,-0.003190436,0.0004841067,0.18,9.465547,-2.524453,0.0021293,-0.002074338,-0.0008703045,0.1327859,9.485443,-2.489114,-0.0003861916,-0.006280475,-0.002093492
5,0.1160872,9.483913,-2.472174,-0.003333333,-0.002870188,-0.001574257,0.1935447,9.47,-2.491772,-0.00366339,0.01281263,-0.001371463,0.1675253,9.482475,-2.485051,-0.007176699,-0.001766991,-0.002131176,0.1371082,9.495784,-2.47,-0.00418011,-0.002874851,-0.001375446
6,0.1354764,9.479047,-2.461906,-0.0004839263,-0.002024813,-0.002222222,0.2058556,9.498289,-2.422433,-0.00354173,0.003726746,-0.0003009048,0.1996936,9.486769,-2.433538,0.0005129643,-0.0006833293,-0.0006833293,0.16,9.493018,-2.473965,0.0009073391,-0.008231447,-0.002675892
7,0.1741681,9.515832,-2.475832,0.0009305774,-0.0068472,-0.004444444,0.1417367,9.498263,-2.46,0.001970096,-0.001363238,-0.002726475,0.1406018,9.48212,-2.44788,0.002380028,-0.003494375,-0.002380028,0.18,9.48332,-2.48,0.0,-0.005103092,-0.004444444
8,0.152182,9.496091,-2.503909,-0.0002918284,-0.008245424,-0.003976798,0.1161857,9.476186,-2.44,-0.004104467,-0.005555556,-0.004444444,0.1137833,9.5,-2.454487,-0.0009663132,-0.004154849,-0.0009663132,0.2,9.470084,-2.443446,-0.002863738,0.004272524,-0.001752627
9,0.1704312,9.475914,-2.484086,-0.003520451,-0.003641331,-0.001419109,0.15,9.492571,-2.472571,-0.003654638,-0.009531498,-0.00412314,0.1230888,9.500733,-2.473089,-0.004845439,-0.00595655,-0.003333333,0.1437631,9.52,-2.446882,-0.002895393,0.003333333,0.0009084016
