,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,1.469891,9.490217,1.719565,0.003735064,-0.0007575322,0.001286234,1.47,9.49799,1.693969,-0.002203683,-0.002179207,8.158639e-06,1.483966,9.516034,1.683966,-0.003312666,0.004422666,-0.001101333,1.47021,9.489895,1.690105,-0.003904597,-0.0005683167,-0.0006970792
1,1.49989,9.499779,1.710331,-0.006856242,0.0004357248,-0.0006276208,1.466925,9.506537,1.72,-0.003385741,-0.002275741,0.0009985184,1.458148,9.484568,1.732716,1.893826e-05,0.0,0.002201062,1.459267,9.489267,1.730733,0.001400783,0.004103466,-0.0008192172
2,1.47983,9.49,1.739489,0.001871575,0.0007615749,-0.0003807874,1.452389,9.52,1.692834,-0.00111,0.00111,7.357104e-06,1.49048,9.516827,1.686347,0.00331609,0.002213045,0.001116955,1.480073,9.489927,1.680147,-0.0004158968,-0.001941794,0.001457052
3,1.460131,9.470657,1.7,-0.001508814,0.0008470822,0.001907628,1.467628,9.535768,1.680512,0.001096145,0.002210763,0.002201526,1.485835,9.5,1.714165,-0.004428934,0.00111,0.002208934,1.460195,9.470292,1.700292,-0.003303866,0.002580207,-0.00111
4,1.469829,9.49,1.720256,-0.0005178795,0.00290447,0.00136894,1.447868,9.491967,1.728033,2.512234e-05,0.0,-1.256117e-05,1.462872,9.49,1.738514,0.002228246,-0.002195262,-0.00111,1.460486,9.490291,1.699806,0.002625921,0.001814079,-0.00111
5,1.47,9.480282,1.709718,0.00222,0.002058968,0.0006863228,1.50569,9.48862,1.676465,-0.001090818,0.003339634,-0.00111,1.463066,9.5,1.704669,-0.001043573,-0.001087858,-0.001087858,1.46,9.49,1.729596,0.003215469,0.0002936458,-0.001403646
6,1.470064,9.480064,1.739808,-0.002651194,0.0009264174,-0.001541194,1.466137,9.491932,1.724205,-1.151782e-05,0.00111,-2.303563e-05,1.490393,9.499803,1.7,-4.957298e-05,3.304865e-05,0.001076951,1.489641,9.470359,1.680538,0.0007128331,-0.00222,-0.00222
7,1.440236,9.509764,1.700236,-0.0008425725,-0.00444,-0.00333,1.48,9.51,1.697676,-0.001063633,0.004347265,-0.001063633,1.448978,9.492993,1.702993,-0.004327696,-0.001091283,0.0,1.48,9.490121,1.709757,0.002498839,-0.0008311607,-0.00222
8,1.44,9.509897,1.729587,0.0002149366,-0.004229095,-0.001987405,1.452513,9.505025,1.704975,0.002175829,0.002043315,-0.001065829,1.47,9.473978,1.74,0.003304943,0.003254828,0.001135057,1.459879,9.509758,1.700121,0.0002728245,0.0,0.001947176
9,1.45,9.519909,1.680182,-0.0002349909,-0.00556,-0.00111,1.472668,9.49,1.672444,-0.001073704,0.006657901,0.003305802,1.502929,9.503414,1.72,0.001087957,0.003296936,0.00333,1.519553,9.519821,1.720179,-0.002986658,0.00222,0.0003433425
10,1.440098,9.499705,1.720295,-0.001829185,-0.005494034,-0.0003908149,1.455394,9.487697,1.747697,0.004439817,0.002220183,-0.001109908,1.476248,9.48,1.75,3.941417e-05,0.001096862,0.001123138,1.459919,9.48,1.749756,-0.001194653,0.0006835646,-0.0007682177
11,1.45,9.51,1.710043,0.004004211,-0.003568423,-0.0002384229,1.467985,9.512015,1.687985,0.004432774,0.003337226,0.001117226,1.486893,9.50068,1.693786,0.005493228,0.008806573,0.003280034,1.489919,9.480162,1.69,0.0001915295,0.0002423137,0.0002423137
12,1.44,9.480395,1.700395,-0.003748465,-0.00667,-0.0006915346,1.479939,9.507988,1.705975,1.681775e-05,0.00222,0.001104394,1.506364,9.492727,1.725454,0.003285034,0.00224706,1.798631e-05,1.51,9.509868,1.72,-0.00111,0.001018376,-0.0003394586
13,1.420183,9.490092,1.759817,-0.00333,-0.001144902,-0.0004370196,1.47,9.49,1.725296,0.0,-2.586017e-05,0.00222,1.482367,9.512367,1.73,1.681576e-05,0.006636318,0.001104395,1.489854,9.51,1.7,0.002729448,-0.002474724,0.0
14,1.440766,9.51,1.738979,0.000237246,-0.005594184,-0.00111,1.47,9.492163,1.707837,0.004420243,0.005520441,-0.001100121,1.48,9.483076,1.716151,0.0,-0.001125692,0.0,1.459967,9.470033,1.720033,0.002649218,-0.00333,-0.001361564
15,1.44,9.480063,1.710252,0.001639855,-0.005133657,0.001797464,1.512177,9.487823,1.681293,0.001126961,-0.002228481,-8.480529e-06,1.496876,9.492495,1.68,0.001167812,0.002133476,0.001081159,1.440195,9.51974,1.68026,-0.0005573516,-0.002635662,-0.00111
16,1.47,9.51,1.719887,0.0004441152,-0.00111,-0.00199823,1.501344,9.497115,1.687115,0.00333,0.00111,-0.003112094,1.493214,9.490357,1.710715,-0.002224577,-0.005550806,0.0,1.430108,9.480108,1.729675,-0.001566137,-0.00542374,-0.00111
17,1.469901,9.470197,1.739507,-0.000645973,-0.005321941,0.0006710067,1.464641,9.49,1.723039,0.001133416,-0.004369751,0.003283167,1.486301,9.503151,1.73,-0.003294027,-0.00222,0.001101007,1.479821,9.51991,1.74009,0.001401892,-0.00444,0.0005262161
18,1.470139,9.509861,1.720139,0.0004306495,-0.0004306495,0.00154065,1.48,9.494558,1.718604,0.005503423,0.0,0.0,1.487561,9.48,1.725122,0.001099572,-0.00222,-0.001104786,1.440105,9.50958,1.729895,-0.0008665087,-0.004199111,-0.001931164
19,1.470257,9.480257,1.71,0.00333,-0.000695624,0.0002812481,1.48,9.512017,1.680083,0.004423946,1.605449e-05,0.00222,1.473154,9.506846,1.703154,0.002263663,0.0,0.002205489,1.48,9.490131,1.7,0.003634325,0.0007071626,0.0008056748
20,1.480479,9.51,1.709761,0.00111,-0.003101485,-0.0004091381,1.522039,9.485921,1.664079,0.002205422,-0.004429066,-0.002216355,1.476888,9.503112,1.703112,0.003267274,-0.004377274,-0.001094319,1.470365,9.49,1.719757,-0.0007000907,-0.001400181,-0.001519909
21,1.500145,9.50029,1.679855,0.00172343,0.003663837,-0.00111,1.47,9.5,1.667509,-2.50937e-05,-0.003254719,-0.002232547,1.48,9.469165,1.700835,-0.00333,0.005470241,-0.00442208,1.450413,9.579312,1.729725,-0.00556,-0.002977669,-0.002951165
22,1.489745,9.460128,1.71,-0.005147105,0.002102374,-0.002511583,1.451893,9.500533,1.703787,-0.001094918,0.003405546,-0.002250164,1.483879,9.506939,1.736939,-0.002263985,0.001139236,-0.002190764,1.44,9.47,1.660846,-0.003564931,0.004130181,-0.002931704
23,1.460176,9.490176,1.709824,-0.0005249784,0.005261172,-0.003213766,1.44615,9.5141,1.69385,-0.002232926,0.002207074,0.0,1.452963,9.5,1.687037,-0.006618554,-2.560762e-05,0.001161215,1.459815,9.50963,1.720555,0.001002201,-0.003120745,0.00222
24,1.449844,9.49,1.77,0.0007936467,-0.00556,0.004043177,1.44796,9.47204,1.773682,0.001242674,-0.00556,0.00444,1.473656,9.47,1.756828,0.005497568,-0.002188924,0.00444,1.450437,9.519854,1.700437,0.006291788,-0.00111,0.00667
25,1.49,9.469808,1.719617,0.007391959,-0.005948041,0.004831537,1.442311,9.5,1.714621,0.01221542,-0.007784581,0.002229162,1.455787,9.485787,1.715787,0.01111576,-0.002243087,0.005548431,1.499845,9.519845,1.669691,0.008426911,-0.004910175,0.004766369
