,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,2.241413,9.519529,0.9592937,-0.02560664,-0.006381442,-0.01749255,2.371111,9.513148,0.9674075,-0.01955815,-0.003671208,-0.01222222,2.357445,9.51,0.97,-0.02161897,-0.02041246,-0.009190515,2.126399,9.497466,1.038933,-0.01376041,-0.01410063,0.002309077
1,2.280503,9.508375,1.016499,-0.005486955,0.01930049,0.01183817,2.514223,9.482889,0.9528887,-0.002321599,0.01533884,0.00575431,2.470626,9.472947,0.9670534,0.001276858,-0.006949041,-0.006252298,2.303699,9.48726,0.9254795,0.000317314,-0.01555556,-0.008015763
2,2.31707,9.5,0.9290234,-0.003491336,-0.002540773,-0.004762996,2.342026,9.497974,0.88,-0.003424847,0.003424847,-0.005647069,2.298752,9.513127,0.9168725,-0.01082341,-0.01293056,-0.006551588,2.302555,9.491064,0.9431906,-0.01111111,-0.0015302,0.001417151
3,2.448395,9.518997,0.9789968,-0.01355687,0.005775813,-0.000223532,2.424998,9.49,0.9975057,-0.01117714,-0.0110891,-0.007711746,2.335122,9.471626,1.029065,-0.00349717,-0.01333333,-0.008823354,2.369116,9.51989,1.039779,-0.001663838,0.002924447,-0.006252122
4,2.38,9.477131,0.9818853,0.004378682,0.001150569,-0.005568708,2.232564,9.499145,0.9897151,0.003459056,-0.01654094,-0.002222222,2.161392,9.507595,0.9748109,0.005555556,-0.001457625,0.008600127,2.266164,9.507352,0.9079454,0.009012435,0.01104934,0.01530846
5,2.437873,9.501064,0.9284046,0.002842881,0.01627605,0.01764757,2.41103,9.487243,0.9662127,-0.005337442,0.0004362267,0.01125652,2.338188,9.5,0.9781884,-0.001181395,-0.007777778,0.01208165,2.397912,9.490522,0.968956,0.001817509,0.004694614,0.01222222
6,2.467863,9.5,0.9783976,0.000659153,0.009654675,0.007570583,2.391831,9.49,0.9305493,-0.001111111,-0.01294605,-0.0003138353,2.236632,9.508316,0.9841581,-0.002158622,-0.0103498,0.002031421,2.380924,9.47793,0.9773567,0.001040137,0.0117254,0.004444444
7,2.449469,9.489469,0.95,-0.001273786,0.004119095,0.004034027,2.374834,9.48,0.9827486,0.002177367,-0.0055107,4.485544e-05,2.336298,9.508895,0.9748063,0.0002821299,-0.004613722,-0.00210937,2.370346,9.48,0.9296537,0.0007404798,0.003703182,0.001851591
8,2.370342,9.49,0.910685,0.001718015,0.00343603,0.001615318,2.35675,9.5,0.9947,-0.006396374,-0.00115616,0.003288285,2.416601,9.484466,0.9689325,-0.002359657,0.00430701,0.002497092,2.411209,9.480806,0.95,-0.004167943,-0.006668369,-0.003611537
9,2.30103,9.5,0.9796136,-0.00789426,-0.01467741,-0.006666667,2.299447,9.500184,1.029263,-0.001839933,0.001146868,-0.001475522,2.41539,9.473829,1.008438,0.0006187902,0.009135049,0.002841012,2.361999,9.493143,0.94,0.001193922,-0.009503132,0.0002484338
10,2.326995,9.486502,0.9465023,0.0,-0.007803109,-0.002215889,2.401188,9.482203,0.9444061,0.002219592,0.002222222,0.003330703,2.426299,9.47,0.96,0.001115886,0.004420572,0.003323784,2.402219,9.50074,0.9514794,-0.002006972,-0.003333333,-0.003996514
11,2.280052,9.470156,0.96,-0.0007760279,-0.01410936,-0.005167542,2.36539,9.491826,0.9309571,0.001101405,0.003372157,0.002222222,2.423746,9.503746,0.9437456,-0.002203249,0.006676153,0.004425471,2.400156,9.470312,0.989688,0.001059633,-0.01299121,-0.006085372
12,2.369898,9.480102,1.009898,-0.001372352,-0.01372553,-0.0077123,2.401291,9.474354,0.9521772,0.002222222,-0.001129692,-0.005574136,2.383306,9.49,0.9534724,0.001097357,-0.003388351,-0.007777778,2.309537,9.479846,0.97,-0.0003046538,-0.005573414,-0.006164863
13,2.389191,9.509884,0.9303469,-0.001952864,0.00372053,-0.002794618,2.420151,9.470454,0.93,-0.003333333,-0.003939063,-0.005050174,2.357287,9.473643,0.96,-0.00534353,-0.006666667,-0.0120102,2.4107,9.49535,0.9469747,-0.01105079,-0.002252383,-0.007777778
14,2.43,9.508262,0.9717383,-0.007777101,-4.060851e-06,-0.01222358,2.315244,9.48,1.016067,-0.0104432,-0.01422596,-0.01867041,2.29,9.530115,1.049655,-0.006666667,-0.009317089,-0.01709487,2.282477,9.501009,1.016514,-0.001263136,0.00077577,-0.01159848
15,2.349158,9.501663,0.9583366,0.002932298,0.005555556,-0.00757726,2.356632,9.497789,0.9622105,0.001073043,-0.004425411,-0.01214609,2.274668,9.525237,1.02019,0.001111111,-0.0121613,-0.007798085,2.36163,9.472257,0.9190283,-0.001084999,0.009930368,-0.001128519
16,2.501255,9.490837,0.8604183,-0.003237456,0.02637904,-0.008505381,2.230279,9.529482,0.9802791,-0.006348653,-0.00309773,-0.02135059,2.220413,9.469639,1.10969,-0.002811146,-0.007444098,-0.02483316,2.372381,9.502856,0.9971437,-0.003078364,0.01628421,-0.01888889
17,2.430571,9.506857,0.95,-0.002222222,0.008855357,-0.0222334,2.180792,9.450475,1.049842,-7.020974e-05,-0.01185668,-0.02526023,2.109413,9.50044,1.059413,0.001298866,-0.01518005,-0.02092336,2.151686,9.552771,0.9844571,0.01216267,0.01639867,-0.002371107
18,2.322866,9.521629,1.000618,0.01333333,0.03735431,0.005461453,2.320165,9.470165,0.9301647,0.0107542,0.01285527,0.007023576,2.260658,9.539835,0.9304938,0.00896601,0.008096734,0.005159478,2.247143,9.51,1.032857,0.0144185,0.01108516,0.006666667
19,2.260675,9.444785,1.01546,0.01889835,0.01448228,0.01221276,2.358917,9.501083,0.8916242,0.01746499,0.01830999,0.01582166,2.389501,9.518837,0.880831,0.01645224,0.0179727,0.01378168,2.347249,9.453753,0.9544988,0.01144688,0.006722629,0.01227818
20,2.296995,9.538029,0.9530048,0.01327266,0.01004045,0.01222222,2.429478,9.490209,0.92,0.009215015,0.02091772,0.01019339,2.350528,9.430264,0.93,0.01063161,0.01207012,0.007146171,2.32959,9.533197,0.9436067,0.0002779315,0.01194429,0.004537088
21,2.336823,9.509532,0.9668226,0.005637228,0.008872554,0.007777778,2.324097,9.48,0.9760648,0.009984735,0.00775488,0.008873624,2.37968,9.49968,0.9990409,0.008490121,0.01111111,0.009372851,2.368014,9.514657,0.9353429,0.008941316,0.006876375,0.006771521
22,2.235206,9.49,0.95,0.007831235,0.003351152,0.01227568,2.277341,9.519114,0.8804432,0.01018442,0.01597395,0.02125058,2.460243,9.499513,0.8801217,0.006269428,0.03507771,0.02555556,2.450377,9.467406,0.9074057,0.003350127,0.004553606,0.01225581
23,2.41,9.466245,0.8931223,-0.002178859,-0.000807567,0.006493213,2.478051,9.508051,0.87,-0.007750979,0.01215523,-0.003373531,2.39,9.499906,0.9601882,-0.006318211,-0.001722548,-0.01047995,2.378728,9.43,0.9791165,0.001979199,-0.003113307,-0.01547455
24,2.42903,9.513228,0.9670989,-0.001090601,-4.102115e-05,-0.01660513,2.179917,9.502656,0.983361,0.0001696749,-0.03250501,-0.02077176,1.935907,9.507645,0.9976449,0.007332077,-0.02009237,-0.004855169,2.313973,9.526008,0.8893346,0.007236848,0.02855272,0.01900589
